place,info,태그
강진 갯들소리마을,육지와 바다가 주는 풍요로움을 노래하는 마을,강진가볼만한곳 관광지 농촌 농촌마을 시골여행 자연풍경 체험 혼자가도좋은  
울산 옹기박물관,옛 조상의 지혜와 슬기를 엿볼 수 있는 곳,문화시설 미세먼지_피하는_실내여행 상설전시 아이와함께 열린문화공간     
효사정,서울의 경치를 한눈에 조망할 수 있는 곳,관광지 역사 역사공부 역사관광지 역사를품은곳 역사속 역사속으로      
보천사(구미),낙동강변을 내려다 보는 신라 고사찰,관광지 구미가볼만한곳 불교 역사 자연풍경 전통사찰 종교 한국불교  
사육신공원,충심과 절개를 배우는 공원,가족여행 관광지 교과서속여행 노량진산책코스 당일치기여행 동작구공원              
상주 양진당,남방식과 북방식의 특징을 모두 갖춘 조선중기 가옥,경상권 관광지 보물 상주양진당 양진당 역사 역사공부 역사관광지       
정양레포츠공원,시원스레 흐르는 황강의 경치가 아름다운 공원,가족과함께 경치좋은곳 관광지 남녀노소 산책하기좋은 여름피서지 연인과함께    
백용성조사유허비,"한국불교의 큰 별, 백용성 조사 탄생지에 있는 유허비",관광지 백용성생가 비석 역사 유허비 장수 장수여행
동림사(김해),장유화상이 신어산에 세운 천년고찰,경상권 관광지 동림사 불교 불교문화 사찰 신어산동림사 역사 자연         
부산영화체험박물관,"영화의 모든 것을 보고, 느끼고, 즐기는 놀이공간",경상권 관광지 문화콘텐츠 박물관 복합문화공간 부산가볼만한곳 부산영화체험박물관         
수열비,해주 오씨 부인의 절개를 기리는 비,관광지 문화재자료 비석 역사 역사공부 역사관광지 역사를품은곳          
장유사(김해),우리나라 불교가 최초로 전래된 사찰,관광지 불교 불교문화 불교사찰 사찰 사찰여행 역사 자연속으로       
마리오아울렛,아시아 최대 규모의 프리미엄 아웃렛,마리오아울렛 서울가볼만한곳 쇼핑 쇼핑센터 수도권 연인과함께 친구와함께
청와대 세트장,색다른 즐거움을 즐길 수 있는 청와대 세트장,가족과함께 관광지 여행지 영상테마파크 영화촬영장 이색관광지 청와대세트장  
김해 수로왕비릉,가야 수로왕의 왕비인 허황옥의 묘,걷기길 경상권 관광지 김해수로왕비릉 수로왕비 수로왕비릉 아이와함께            
영월암(장수),달이 뜬 풍광이 아름다운 사찰,관광지 불교 불교문화 사찰 사찰여행 역사 영월암 자연속으로 자연환경        
합천 백암리 석등,통일신라 때 만들어진 우수한 석등,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속        
김해민속박물관,민속과 농경의 재발견,가족여행 경상권 교과서속여행 김해아이와가볼만한곳 김해여행코스 문화시설          
우포출렁다리,쪽지벌과 산밖벌을 이어주는 교량,가을여행 가족과함께 관광지 우포늪 우포늪출렁다리 자연풍경 창녕관광지  
김해탄소중립체험관,경남의 대표적인 기후변화 체험교육의 중심 공간,가볼래터 관광지 김해 김해가볼만한곳 여행구독 체험관 탄소중립실천여행지
원흥석불입상,원흥사 법당안의 높이 4m의 거대 석불 입상,관광지 문화재자료 석불 역사 역사공부 역사관광지 역사를품은곳          
우포늪생태관,우포늪의 생태 환경을 이해할 수 있는 학습공간,가족여행 경상권 문화시설 생태 생태여행 생태체험 아이가_좋아하는_여행      
여계묘역,조선 전기 묘제 양식을 잘 보여주는 서울 구로구의 문화유산,계남근린공원 관광지 구로구 구로구문화재 구로여계묘역 능골산 덕의근린공원           
죽림정사,민족대표 33인 백용성 조사가 태어난 곳,관광지 불교 불교사찰 사찰 사찰여행 역사 자연속으로 자연좋은곳       
다맥어촌체험마을,다양한 어촌체험을 즐길 수 있는 휴양 마을,가족체험 관광지 농어촌체험마을 사천가볼만한곳 아이와함께 어촌 어촌마을    
김해목재문화박물관,전통과 현대의 목재 문화를 만날 수 있는 곳,김해 김해가볼만한곳 김해박물관 목재 목재문화 문화박물관 문화시설 
강릉시립미술관 교동,미술을 사랑하는 모든 사람들과 소통하는 미술관,강릉가볼만한곳 강릉여행 남녀노소 문화공간 문화시설 문화예술 미술관   
영주 금성대군 신단,"세종대왕의 여섯째 아들, 금성대군의 넋을 기리는 곳",경상권 관광지 사적 역사 역사공부 역사관광지 역사를품은곳 역사문화재        
단장숲유원지,밀양의 여름 물놀이 명소,관광지 나무숲 단장천 물놀이 반려동물 취사가능 피서객
강양향교,지방민의 교육과 교화를 위해 나라에서 세운 교육기관,강양향교 경상권 경상권 경상남도문화재자료 관광지 역사 역사속으로   
의암공원,의암호를 따라 산책과 휴식을 즐기기에 좋은 도심 속 자연공간,공지천공원 공지천관광 관광지 의암호관광 춘천공원 춘천관광
가평크루즈,"가평의 모든 힐링, 가평크루즈",가평가볼만한곳 가평관광 가평군 가평크루즈 관광지 크루즈 크루즈여행
대성산지구 전적비,6·25 전쟁 당시 대성산 전투의 위훈을 기리는 추모비,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속        
화음동 정사지,산과 계곡이 어우러져 경치가 매우 아름다운 곳,강원도화천 계곡물놀이 관광지 화음동정사지 화천가볼만한곳 화천계곡 
영암 학계리석불입상,화강암에 돋을 새김한 불상,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속       
소창체험관,"강화직물산업의 역사를 한눈에 보고, 즐거운 체험까지!",2024_여행가는달과함께하는_발도장여행지 가족과함께 가족이색체험 강화가볼만한곳            
거례리사랑나무,아름다운 생태경관 속에 자리한 400년 된 보호수,DMZ DMZ여행 관광지 꽃감상 북한강 산책하기좋은 왕따나무 포토존 
옥토끼우주센터,상상력을 우주까지 키워나가자,2024_여행가는달과함께하는_발도장여행지 가볼래터 가족체험여행 겨울방학가볼만한곳            
영암내동리쌍무덤,영산강 유역 마한시대 수장층의 무덤,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속          
무병장수마을,사계절이 아름답고 유서 깊은 역사가 있는 마을,관광지 산책길 산책하기 산책하기좋은곳 자연경관 자연마을 자연좋은곳      
토마토조각공원,토마토를 주제로 한 조각 작품이 전시된 문화공원,DMZ DMZ여행 강원도화천 관광지 토마토조각공원 화천가볼만한곳   
향호해변,푸른 바다의 전망이 뛰어난 곳,강릉 관광지 주문진 주문진해변 주문진해수욕장 촬영장소 해수욕장  
해피아워크루즈,동해안의 아름다운 풍광을 감상할 수 있는 유람선,강릉바다여행 강릉유람선 강원도여행 관광지 동해바다유람선 동해여행  
주문리마을,싱싱한 해산물과 푸른 바다를 만나볼 수 있는 곳,강릉주문진 관광어촌마을 관광지 숙박 아들바위 자연 주문진어민수산시장   
옥련사(강진),만덕산의 중턱에 자리잡고 있는 고즈넉하고 자그마한 사찰,관광지 불교 불교문화 사찰여행 역사 자연속으로 자연환경 전통사찰      
강릉 주문진종합시장,건강하고 깨끗한 먹거리를 제공하는 종합시장,가족여행 강릉시장맛집 강원권 기차여행 나들이 나홀로여행 먹거리            
자연아놀자 체험학습박물관,다양한 동식물과 교감을 나누는 박물관,강릉가볼만한곳 동물과의교감 문화시설 생태체험 아이와함께 자연아놀자  
월남사지,월출산을 바라보며 역사속으로 사라져간 불사의 흔적,관광지 불교 불교문화 역사 역사공부 역사를품은곳 역사문화재 역사속         
강릉 복사꽃마을,자연 그대로를 간직한 아름다운 농촌마을,가족체험 강릉복사꽃마을 강원권 관광지 꽃놀이 농촌체험 농촌체험학습        
소돌항,빨간 등대와 함께 잔잔한 운치를 느끼다,관광지 바다체험 아들바위공원 어촌체험 주문진 항구여행
진주청동기문화박물관,시간의 강을 건너 청동기 시대를 만나는 곳,경상권 문화시설 문화행사 박물관 아이와함께 역사를품은곳 역사속       
경상남도수목원,거대한 생태숲 체험장,가볼래터 가족여행 관광지 생태관광지 수목원 여행구독 자연 자연좋은곳 
청곡사(진주),"청학이 날아와 앉은 명당, 청곡사",가족여행 경상권 관광지 불교 불교문화 사찰 사찰&산사 사찰여행         
소양호(춘천),하늘과 맞닿은 내륙의 바다를 만나다,강원권 강원도여행 경치여행 경치좋은곳 관광지 빙어낚시 산책하기좋은곳         
창녕우포곤충나라,다양한 생물을 직접 체험하고 관람할 수 있는 곤충나라,곤충체험 곤충체험학습관 문화시설 생태곤충원 아이와가볼만한곳 창녕가볼만한곳  
안동시립박물관,불교와 유교문화가 공존하는 공간,가족여행 문화관광해설사 문화시설 박물관 실내여행지 아이와함께 안동가볼만한곳       
춘천호,호반의 정취와 함께 캠핑에서 낚시까지 즐기기 좋은 곳,가족여행 강원권 경치좋은곳 경치좋은곳 관광지 드라이브여행 민물낚시      
분황사 청보리밭,매년 싱그러운 청보리가 펼쳐지는 공간,경북권 경주가볼만한곳 관광지 분황사 청보리밭 황룡사지
호암 이병철선생 생가,삼성그룹의 창업자 호암 이병철 선생의 생가,경상권 고택 관광지 교과서속여행 노적봉 삼성그룹창업자 아이와함께          
안동민속촌,자연과 함께 마음이 편안해지는 민속촌,가족과함께 관광지 민속마을 민속자료 민속촌 아이와함께 안동가볼만한곳 
효자동낭만골목,예술이 깃든 아기자기한 벽화마을,강원 강원춘천 골목 관광지 따뜻함 벽화골목 춘천시 춘천효자동   
아열대식물원,의령에서 만나는 아열대여행,가볼래터 관광지 식물원 실내관광지 여행구독 의령가볼만한곳
칠곡 가산산성,자연지형을 활용해 축성된 조선시대 석성,가산바위 가산산성 경상권 관광지 봄밤의설렘곡곡 사적 역사 역사공부      
박열의사기념관,불굴의 애국지사 박열의사를 기리는 기념관,기념관 문경가볼만한곳 문화시설 박열의사 애국정신 역사관광지 친구와함께 
양산시립박물관,양산의 역사를 한눈에 볼 수 있는 곳,경상권 교과서속여행 문화시설 박물관 사계절 아이와함께 양산시립박물관 
소양강처녀상,맑고 깨끗한 소양강 위에 있는 소양강 처녀상,강원권 관광지 소양강처녀상 연중무휴
신정희도예(신한균 사기장),소중한 우리의 유산 분청사발을 만날 수 있는 곳,도예 분청사기 쇼핑 양산
나정고운모래해변,넓은 백사장과 수상레저를 즐길 수 있는 해변,경상권 경주해수욕장 관광지 바다풍경 수상레저 여름방학가볼만한곳     
서봉사계곡 마을관리휴양지,깨끗한 계곡에서 휴식을 즐길 있는 휴양지,계곡휴양지 관광지 서봉사계곡 자연 홍천계곡 홍천관광지 홍천자연휴양지 
영암 장천리 선사주거지,청동기시대의 집자리 유적,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속      
소담수목원,아담하지만 다채로운 수목원,관광지 데이트장소추천 드라이브여행 드라이브코스 연인과함께 자연좋은곳     
포항함체험관,조국 영해를 수호한 포항함,가족여행 경상권 동빈내항 문화시설 선상병영체험 아이와함께 연중무휴    
거창사건추모공원,거창사건의 희생자를 추모하는 공간,거창위령탑 거창추모공원 걷기길 경상권 관광지 교과서속으로 근대문화유산              
봉길대왕암해변,문무대왕릉 대왕암이 보이는 해수욕장,가족여행 감은사지 경주가볼만한곳 경주인근해변 관광지 대왕암 동해바다       
강릉 녹색도시체험센터,저탄소 녹색시범도시 강릉,가족과함께 강릉녹색도시체험센터 강원권 관광지 교육여행 산업관광       
문산성당,140년 역사를 가진 서부경남 최초의 성당,관광지 등록문화재 문산본당 사봉성지 소촌공로 소화유치원 최초의성당
주문진 등대,일출이 아름다운 강원도 최초의 등대,가족과함께 강릉가볼만한곳 경치좋은곳 관광지 남녀노소 드라마촬영지           
주문진항,강릉 앞바다의 맛을 한데 모은 항구,21_22한국관광100선 가족여행 강릉가볼만한곳 강원권 관광지 데이트코스           
경상남도교육청 과학교육원,즐기면서 배우는 체험중심의 과학관,경상권 과학교육 과학전시관 과학체험관 교과서속여행 문화시설 사계절    
주문진해양박물관,바닷 속 생명체들을 알아가는 공간,문화시설 운석전시 주문진항_볼거리 진주전시 해양생태전시관
서강,역사 유적지를 품고 희귀 동식물의 보고인 영월의 강,강원권 경치여행 경치좋은곳 관광지 생태관광지 생태체험 서울근교여행         
도담삼봉 음악분수,춤추는 물줄기와 음악의 조화로운 만남 도담삼봉 음악분수,가족여행 관광지 단양분수 단양음악분수 도담삼봉 도담삼봉음악분수           
골프클럽 Q,섬세함과 정교함을 즐길 수 있는 골프장,경기골프장 경기남부골프장 경기도골프장 레포츠 안성 안성가볼만한곳 
선유동계곡(산청),신선이 노닐었다 여겨질 만큼 아름다운 동천을 자랑하는 곳,경남산청계곡 경남산청선유동계곡 경남선유동계곡 관광지 산청계곡 산청선유동계곡 
충주자연호텔,충주 자연 그대로를 담은 힐링의 장소,가족과함께 관광지 사우나 숙박 연인과함께 연중무휴 충청권 휴식여행    
전북 전주 한옥마을 [슬로시티],반려동물과 함께 한국의 옛 정취를 느껴볼 수 있는 곳,19_20한국관광100선 2010 2024_여행가는달과함께하는_발도장여행지                       
온달관광지,고구려의 역사속으로,2024_여행가는달과함께하는_발도장여행지 가족과함께 관광지 남녀노소                
허난설헌 생가터,조선 최고의 여류문인 허난설헌을 기념하는 곳,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속      
당진면천읍성,서해와 접한 거점 당진의 역사가 담긴 읍성,골정지 관광지 군자정 당진문화재 당진여행 면천상회 면천읍성 면천읍성은행나무                
양산타워,웅장한 모습의 양산 랜드마크,관광지 양산가볼만한곳 양산관광명소 양산명승지 양산북카페 양산여행  
전촌항,전망대에서 내려다보는 평화로운 항구,거마상 경주가볼만한곳 경주여행 경치좋은곳 관광지 전촌항 전촌항전망대  
송월동 동화마을,세계명작동화를 만날 수 있는 송월동,2024_여행가는달과함께하는_발도장여행지 23_24한국관광100선 INFP상상여행                
산청 조식 유적,조선 중기의 유명한 유학자 조식 선생의 유적지,관광지 산청관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재       
강진만,바닷가를 따라 늘어선 바다갈대들의 풍경이 아름다운 곳,경치여행 관광지 산책하기좋은곳 자연 자연관광지 자연속으로 자연여행   
춘천명동거리,춘천이 품고 있는 서울의 명동거리,관광지 드라마촬영지 쇼핑거리 아이와함께 연인과함께 우수쇼핑 이색거리      
마량미항,자연이 주는 여유로움과 음악이 가득한 아름다운 항구,관광지 마량미항 마량항 반려동물 반려동물동반여행지 자연 전남권반려동물여행지  
문수암(산청),지리산 품속에서 진정한 평화를 만나는 문수암,경상권 관광지 사찰 역사 역사공부 역사관광지 역사여행 역사탐방  
모래시계공원,드라마 모래시계와 새천년 밀레니엄을 기념해서 만들어진 공원,가족여행 강원권 걷기길 관광지 모래시계공원 산책길 산책하기 산책하기좋은곳      
백련사(강진),향기로운 차향과 아름다운 동백이 어우러진 천년의 고찰,강진백련사 관광지 불교 불교문화 사찰 역사 자연좋은곳 자연환경        
문암생태공원,반려동물과 함께 즐기는 도심형 생태공원,관광지 반려동물동반여행지 반려동물바베큐장 반려동물캠핑장 생태공원   
사의재저잣거리,조선 시대로 떠나는 여행,관광지 아이와함께 역사 역사공부 역사관광지 역사문화재 역사속           
용봉산자연휴양림,제2의 금강산이라 불리는 용봉산자연휴양림,가족과함께 가족여행 관광지 등산 등산로 산림휴양관 숲 용봉산      
평창캠프닉,특별한 공간에서의 특별한 체험,강원도_관광두레 관광두레 관광두레_주민사업체 관광지 바베큐 주말추천여행지     
강릉커피거리,아름다운 해변을 벗 삼아 커피를 즐기다,2023_설날_디저트맛집 2024_여행가는달과함께하는_발도장여행지 21_22한국관광100선                 
덕천서원(산청),서원의 전통미와 배롱나무 꽃의 아름다운 조화,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속      
용인산토리니,아름다운 자연 경관을 간직한 휴양지,경기도관광 경기도여행 경기도펜션 관광지 야외바베큐 용인산토리니관광농원   
강진 삼인리 비자나무,500년의 세월을 묵묵히 건너온 마을의 수호신,관광지 비자나무 역사 역사 역사공부 역사관광지 역사를품은곳 역사문화재           
헤이리농원,"밤줍기, 배따기도 하고 불멍과 바비큐도 즐기는 팜크닉 체험농장",가볼래터 관광지 농장체험 아이와함께 여행구독 체험학습 파주가볼만한곳   
놀이정원풀빛,가족과 함께 자연을 즐길 수 있는 곳,관광지 아이와함께 야외놀이터 용인가볼만한곳 용인놀이정원풀빛 용인농원   
국립 오서산자연휴양림,서해안 최고봉 오서산에서 즐기는 편안한 휴양,가족여행 관광지 나들이 등산 아이와함께 연인과함께 오서산 오서산자연휴양림      
주식회사비브릿지글램핑,럭셔리하게 즐겨보는 캠핑,가족 계곡옆 깨끗한 레포츠 사이트 간격이 넓은 아이들 놀기 좋은 온수 잘 나오는  
보광산관광농원,숲에서 바비큐와 캠핑을 즐기는 관광농원,가족여행 관광지 농촌 농촌여행코스 농촌체험 농촌체험마을 보광산관광농원       
경주축구공원,다양한 축구경기를 보고 즐길 수 있는 공원,경주가볼만한곳 경주축구장 관광지 운동하기좋은 인조잔디 천연잔디축구장   
강릉 통일공원,평화통일의 염원을 담은 통일공원,강릉가볼만한곳 강릉통일공원 강원권 관광지 바다풍경 아이와함께 안보여행      
국립 두타산자연휴양림,"숲속에서의 하루, 그리고 다양한 체험이 있는 자연휴양림",가족여행 강원권 강원도_여행지_추천 걷기길 관광지 나들이 두타산            
춘천시 수변공원,아름다운 강변 경치를 감상하며 산책하기,관광지 단풍명소 수변공원 의안호 춘천관광 춘천명소
양양오색 휴랜드 야영장,오색천 계곡이 흐르는 힐링 캠핑장,그늘이 맑은 깨끗한 레포츠 물놀이 하기 좋은 아이들 놀기 좋은 여유있는   
벽운계곡,지하철을 타고 가서 즐기는 서울 근교 계곡,관광지 노원구계곡 다이빙계곡 서울계곡 수락산벽운계곡
철종외가,강화도령 철종임금의 외가,강화철종외가 고택 관광지 수도권 역사 역사공부 역사관광지 역사를품은곳            
비스타밸리,승마부터 원데이 클래스 체험까지 가능한 복합 테마파크,관광지 남양주비스타밸리 남양주승마클럽 남양주아이와가볼만한곳 비스타밸리눈썰매장 
강화 분오리돈대,초승달 모양을 지닌 방어시설,강화가볼만한곳 강화도관광 강화도여행 강화분오리돈대 관광지 돈대               
경주 비단벌레 전동차,동부사적지대 일원을 순회하는 비단벌레 전동차,가족여행 경주가볼만한곳 경주비단벌레전동차 경주여행 관광지 동부사적지대   
산청 남사리 이씨고가,우리네 한옥 특유의 멋을 느낄 수 있는 곳,관광지 남사예담촌 산청가볼만한곳 산청남사리이씨고가 산청여행
강화 원도심 스토리워크,강화읍의 숨겨진 역사와 문화,2024_여행가는달과함께하는_발도장여행지 21_22한국관광100선 23_24한국관광100선      
코라드 청정누리 공원 코라디움,살아있는 자연과 과학이 어우러진 공원,경주가볼만한곳 경주여행 과학체험 관광지 방폐물관리사업 코라드청정누리공원   
강진 백운동별서정원,천혜의 자연속에 깃든 그림같은 풍경,가을가볼만한곳 가을경치 가족여행 관광지 문화유산 역사공부 역사관광지          
감포항,푸른 바다를 감상할 수 있는 경주의 항구,감은사지3층석탑 감포항방파제 감포해상공원 경상권 경주감포항 경주관광        
진영역철도박물관,김해시에 위치한 국내 최초 등록 공립철도박물관,김해 김해가볼만한곳 김해박물관 문화관광해설사 문화시설 박물관 철도박물관
연곡해변솔향기캠핑장,솔향 가득한 강릉 바다에서 파도소리를 들으며 캠핑하기,2022 2022한국관광의별 강릉시캠핑장 강원권 강원도캠핑장 경포대    
천안박물관,천안의 역사와 문화가 공존하는 곳,가족여행 문화공간 문화시설 문화행사 미세먼지_피하는_실내여행 박물관                 
사곡리남근석,사람들의 염원을 담은 마을신앙의 상징,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속       
경주엑스포대공원,모두가 꽃이 되는 365일 힐링파크 경주엑스포대공원,2024_여행가는달과함께하는_발도장여행지 가족과함께 경상권 경상권반려동물여행지               
한방스파 여용국,자신의 체질과 몸상태에 맞춘 전통 테라피,관광지 뷰티&스파온천&스파 연인과함께 우수웰니스관광지 친구와함께         
제일컨트리클럽,재일 동포들의 희망과 꿈이 담겨있는 제일 컨트리클럽,경기권 골프 골프장 골프클럽 남녀노소 레포츠 스포츠시설 자연좋은곳  
강진마도진만호성지,"서남해에 위치하여 강진, 장흥, 해남, 영암으로 이어져 제주도와 연결되는 요충지의 성벽",관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속      
갈기산,말갈기 모양의 명산,갈기산 관광지 등산 등산명소 명소 영동군 자연 힐링명소
